Game,Year,North America,Europe,Japan,Rest of World,Global
Grand Theft Auto V,2014,6.06,9.71,0.6,3.02,19.39
Call of Duty: Black Ops 3,2015,6.18,8.64,0.41,2.44,15.09
Red Dead Redemption 2,2018,5.26,7.95,0.21,2.26,13.94
Call of Duty: WWII,2017,4.67,6.21,0.4,2.12,13.4
FIFA 18,2017,1.27,6.21,0.15,1.73,11.8
FIFA 17,2016,1.26,6.05,0.12,1.61,10.94
Uncharted (PS4),2016,4.49,5.77,0.21,1.7,10.33
Spider-Man (PS4),2018,3.64,4.49,0.32,1.41,8.76
Call of Duty: Infinite Warfare,2016,3.11,3.97,0.19,1.36,8.48
Fallout 4,2015,2.91,3.93,0.27,1.34,8.48
